eventCode,matchLevel,matchNumber,match_key,robot,teamNumber,autoStartingLocation,taxi,autoUpper,autoLower,autoPickedUpCargo,upper,lower,wasDefended,wallbot,pickupLoc,shootingLocations,climb,climbBeforeEndgame,defenseRating,heldCargo,speedRating,diedOrTipped,comments,autoCargo,autoScore,teleopCargo,teleopScore,totalCargo,taxiScore,autoUpperScore,autoLowerScore,upperScore,lowerScore,climbScore,endgameScore,totalScore,climbLevel,wasDefendedMetric,diedMetric,heldCargoMetric
2022ilch,qm,12,2022ilch_qm12,b1,7237,54,N,0,1,N,0,0,N,N,g,,x,N,b,N,3,Y,,1,2,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0
2022ilch,qm,12,2022ilch_qm12,b2,1739,42,Y,0,1,N,0,9,N,N,x,,x,N,x,N,3,N,,1,2,9,9,10,2,0,2,0,9,0,0,13,0,0,0,0
2022ilch,qm,12,2022ilch_qm12,r3,1781,54,Y,2,0,Y,5,0,Y,Y,g,"[29,42,42]",4,N,x,N,4,N,Solid shooter. Great climber,2,8,5,10,7,2,8,0,10,0,15,15,35,4,1,0,0
2022ilch,qm,13,2022ilch_qm13,b1,3352,42,Y,0,1,N,0,2,N,Y,g,,x,N,x,N,3,N,Mech wheels,1,2,2,2,3,2,0,2,0,2,0,0,6,0,0,0,0
2022ilch,qm,13,2022ilch_qm13,r2,2220,54,Y,2,0,Y,3,0,N,N,g,"[53,17,40]",4,N,x,N,3,N,,2,8,3,6,5,2,8,0,6,0,15,15,31,4,0,0,0
2022ilch,qm,13,2022ilch_qm13,b2,3067,29,Y,0,2,Y,0,6,N,N,g,,2,N,x,N,1,Y,Temporarily Died,2,4,6,6,8,2,0,4,0,6,6,6,18,2,0,1,0
2022ilch,qm,13,2022ilch_qm13,b3,112,54,Y,0,0,Y,9,1,Y,N,g,"[55,55,54,54,54,66,53,39,39,58,46]",2,N,g,N,4,N,"Good shooter, speedy",0,0,10,19,10,2,0,0,18,1,6,6,27,2,1,0,0
2022ilch,qm,13,2022ilch_qm13,r3,4096,18,Y,0,0,Y,5,0,Y,N,g,"[17,5,16,17,15]",a,N,a,N,3,N,Pretty good shooter. Played good defense. ,0,0,5,10,5,2,0,0,10,0,0,0,12,0,1,0,0
2022ilch,qm,14,2022ilch_qm14,r1,7560,17,N,0,0,N,0,0,N,N,x,,2,Y,b,N,1,N,,0,0,0,0,0,0,0,0,0,0,6,6,6,2,0,0,0
2022ilch,qm,14,2022ilch_qm14,b1,3734,53,Y,2,0,Y,2,0,N,N,g,"[56,45,56,53]",1,N,x,N,3,N,,2,8,2,4,4,2,8,0,4,0,4,4,18,1,0,0,0
2022ilch,qm,14,2022ilch_qm14,b2,677,54,Y,0,0,N,4,0,N,N,g,,x,N,x,N,3,N,,0,0,4,8,4,2,0,0,8,0,0,0,10,0,0,0,0
2022ilch,qm,14,2022ilch_qm14,r2,2338,19,Y,5,0,Y,2,0,Y,Y,g,"[31,19,45,45]",4,N,x,N,3,N,,5,20,2,4,7,2,20,0,4,0,15,15,41,4,1,0,0
2022ilch,qm,14,2022ilch_qm14,b3,8096,17,Y,2,0,N,0,0,Y,N,g,,2,N,e,N,4,N,Shooter does not seem to work,2,8,0,0,2,2,8,0,0,0,6,6,16,2,1,0,0
2022ilch,qm,14,2022ilch_qm14,r3,4645,29,N,0,0,N,0,0,N,N,x,,x,N,x,N,3,N,Drive team lost control of robot. Didnt move ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022ilch,qm,15,2022ilch_qm15,r1,3488,54,Y,0,1,N,6,0,N,N,g,"[29,29,29]",2,N,x,N,2,N,,1,2,6,12,7,2,0,2,12,0,6,6,22,2,0,0,0
2022ilch,qm,15,2022ilch_qm15,b1,4702,29,Y,0,0,N,0,0,N,N,x,,x,N,x,N,3,Y,,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0
2022ilch,qm,15,2022ilch_qm15,b2,1625,54,Y,2,0,Y,7,0,N,N,g,,4,Y,x,N,3,N,Climbed at 40,2,8,7,14,9,2,8,0,14,0,15,15,39,4,0,0,0
2022ilch,qm,15,2022ilch_qm15,r2,5125,44,Y,0,2,Y,0,5,Y,Y,g,"[42,42,31,31,31]",2,N,x,N,3,N,,2,4,5,5,7,2,0,4,0,5,6,6,17,2,1,0,0
2022ilch,qm,15,2022ilch_qm15,b3,3110,55,Y,0,0,N,4,0,Y,N,g,"[33,45]",2,N,b,N,3,N,,0,0,4,8,4,2,0,0,8,0,6,6,16,2,1,0,0
2022ilch,qm,15,2022ilch_qm15,r3,4145,29,Y,1,0,Y,4,0,Y,N,x,"[29,16,19]",a,N,x,N,5,N,Good shooter. Super fast. Possibly swerve drive,1,4,4,8,5,2,4,0,8,0,0,0,14,0,1,0,0
