id,match_id,robot_id,created_at,created_by,updated_at,updated_by,available,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14
82,Q26,1986,2023-04-07 18:38:48.652428,Ely,2023-04-07 18:38:48.652428,Ely,True,3,,1.0,,['2'],,,1,,,"['3', '2']",['3'],2,0,1,3.0,0,3.0,3,,1.0,,['2'],,,1,,,"['3', '2']",['3'],2,0,1,3.0,0,3.0
83,Q27,9007,2023-04-07 18:45:31.596058,A,2023-04-07 18:45:31.596058,A,True,,,,,,,,,4.0,,"['1', '2', '3']",['2'],2,0,0,,0,,,,,,,,,,4.0,,"['1', '2', '3']",['2'],2,0,0,,0,
84,Q27,31,2023-04-07 18:45:37.783022,A,2023-04-07 18:45:37.783022,A,True,,,,,,,,,2.0,,['3'],['2'],2,0,0,,,,,,,,,,,,2.0,,['3'],['2'],2,0,0,,,
85,Q27,4646,2023-04-07 18:45:48.361162,Ely,2023-04-07 18:45:48.361162,Ely,True,2,,0.0,1.0,['2'],,1,2,,1.0,"['2', '3']",['1'],0,0,1,6.0,0,3.0,2,,0.0,1.0,['2'],,1,2,,1.0,"['2', '3']",['1'],0,0,1,6.0,0,3.0
86,Q26,4646,2023-04-07 18:47:09.525102,Saris,2023-04-07 18:47:09.525102,Saris,True,2,,,1.0,['2'],['2'],1,1,2.0,3.0,"['1', '2', '3']",['3'],2,0,1,9.0,0,4.0,2,,,1.0,['2'],['2'],1,1,2.0,3.0,"['1', '2', '3']",['3'],2,0,1,9.0,0,4.0
87,Q26,4646,2023-04-07 18:47:09.967229,Saris,2023-04-07 18:47:09.967229,Saris,True,2,,,1.0,['2'],['2'],1,1,2.0,3.0,"['1', '2', '3']",['3'],2,0,1,9.0,0,4.0,2,,,1.0,['2'],['2'],1,1,2.0,3.0,"['1', '2', '3']",['3'],2,0,1,9.0,0,4.0
89,Q28,9244,2023-04-07 18:50:33.281291,Armando,2023-04-07 18:50:33.281291,Armando,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Q28,9244,2023-04-07 18:52:39.536736,Armando,2023-04-07 18:52:39.536736,Armando,True,3,,,,,,,,1.0,,,['2'],2,0,0,,0,,3,,,,,,,,1.0,,,['2'],2,0,0,,0,
88,Q26,4646,2023-04-07 18:47:10.304453,Saris,2023-04-07 18:47:10.304453,Saris,True,2,,,1.0,['2'],['2'],1,1,2.0,3.0,"['1', '2', '3']",['3'],2,0,1,9.0,0,4.0,2,,,1.0,['2'],['2'],1,1,2.0,3.0,"['1', '2', '3']",['3'],2,0,1,9.0,0,4.0
92,Q28,1750,2023-04-07 18:53:32.207906,Ely,2023-04-07 18:53:32.207906,Ely,True,1,,,,,,1,,2.0,,"['1', '2']",['3'],1,0,0,,0,,1,,,,,,1,,2.0,,"['1', '2']",['3'],1,0,0,,0,
